"location","State.x","County","X..Smokers","X..Adults.with.Obesity","X..Physically.Inactive","X..With.Access.to.Exercise.Opportunities","X..Excessive.Drinking","X..Uninsured","Primary.Care.Physicians.Ratio","Mental.Health.Provider.Ratio","X..Vaccinated","X..Unemployed","X..Children.in.Poverty","Average.Daily.PM2.5","X","State.y","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Other.Primary.Care.Provider.Ratio","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg"
"Iowa Johnson","Iowa","Johnson",15,26,17,93,25,6,"551:1","274:1",63,1.9,14,9.3,257,"Iowa",82.7,1003,240,48,4,10,11,6,136,13,3,27,6,"358:01:00",64387,12,1572,151260,20,11.7,9.575796397,5.372805939,8.5,17145,164177.0292
"Iowa Lee","Iowa","Lee",18,40,30,75,21,5,"1715:1","1174:1",49,4,22,10.7,258,"Iowa",76.6,589,435,68,NA,11,12,13,38,14,7,30,6,"1261:01:00",48241,24,379,34055,21.4,20.3,9.742592593,5.150688425,8.5,1188,11574.2
"Iowa Linn","Iowa","Linn",16,34,23,92,21,4,"1660:1","495:1",60,2.8,11,9.7,259,"Iowa",80.2,2232,296,40,5,9,11,9,133,11,5,27,5,"1130:01:00",64878,16,2692,225909,23.2,15.8,8.822459392,5.187847114,7.7,19224,169602.9593
"Iowa Montgomery","Iowa","Montgomery",17,26,24,82,19,7,"1690:1","1667:1",59,2.4,22,8.5,260,"Iowa",77,164,407,NA,NA,11,12,14,106,13,8,28,8,"769:01:00",49966,NA,276,10003,22.7,21.4,7.582053388,4.590125373,6.791667,15963,121032.3182
"Iowa Muscatine","Iowa","Muscatine",15,37,26,81,22,5,"2144:1","1590:1",60,2.6,16,11.2,261,"Iowa",78.8,509,330,NA,NA,10,11,8,54,9,6,29,6,"1073:01:00",58465,16,578,42929,24.9,16.6,9.924377736,6.087249555,8.6,20765,206079.7037
"Iowa Palo Alto","Iowa","Palo Alto",14,32,27,82,20,5,"3031:1","1276:1",31,2.2,14,8.1,262,"Iowa",78.1,125,394,NA,NA,9,11,13,NA,10,8,27,5,"1488:01:00",55322,29,502,8929,22.8,21.9,8.207232776,4.485077091,7.4,14489,118914.5957
"Iowa Polk","Iowa","Polk",15,32,20,93,21,6,"1010:1","391:1",60,2.5,12,8.6,263,"Iowa",79.1,5004,329,56,6,9,11,8,191,11,4,30,7,"773:01:00",68479,14,4150,487204,24.9,13.1,8.007703074,4.651388642,7,19193,153691.8451
"Iowa Pottawattamie","Iowa","Pottawattamie",17,41,26,86,22,6,"2172:1","538:1",59,2.3,15,9.5,264,"Iowa",77.8,1305,392,69,8,10,11,12,112,11,11,30,7,"1141:01:00",56337,17,2251,93533,23.6,17.5,8.953503893,4.957233515,7.9,1798,16098.4
"Iowa Scott","Iowa","Scott",17,33,25,93,21,5,"1142:1","737:1",56,3,18,10.3,265,"Iowa",78.9,2006,332,43,4,10,11,11,145,12,3,28,6,"1083:01:00",59865,15,1582,173283,23.7,16.2,10.61894248,5.673581474,9.6,36011,382398.7377
"Iowa Tama","Iowa","Tama",17,35,27,77,20,8,"4265:1","2817:1",48,3,15,9.5,266,"Iowa",76.9,235,392,85,NA,10,11,9,77,10,6,27,9,"1878:01:00",56954,16,349,16904,24.1,19.7,9.284210526,5.534911538,8.05,152,1411.2
"Iowa Van Buren","Iowa","Van Buren",16,33,23,59,20,8,"1022:1","3510:1",27,2.7,21,9.3,267,"Iowa",76.5,109,384,NA,NA,9,11,3,NA,11,22,27,9,"1003:01:00",47905,NA,176,7020,22.8,22.5,7.935443462,4.489570379,7.130435,14625,116055.8606
"Iowa Woodbury","Iowa","Woodbury",19,35,26,94,19,8,"1506:1","448:1",49,2.5,20,9,268,"Iowa",77.7,1271,374,48,5,11,12,9,108,11,10,28,10,"916:01:00",60059,14,907,102539,26.1,15.1,8.498214286,5.15435633,7.5,1232,10469.8
"Kansas Brown","Kansas","Brown",17,37,33,56,17,11,"964:1","291:1",26,3,20,9.4,269,"Kansas",74.8,175,477,NA,NA,11,12,14,NA,13,4,29,13,"1600:01:00",47529,NA,26,9598,25.3,20.5,8.18370607,5.190075249,7.3,313,2561.5
"Kansas Chase","Kansas","Chase",15,35,25,68,16,10,"","",37,2.6,13,8.6,270,"Kansas",76.6,50,474,NA,NA,10,11,10,NA,12,35,30,12,"2629:01:00",50981,NA,18,2629,20,25.1,6.595737123,5.227814461,5.4,1126,7426.8
"Kansas Johnson","Kansas","Johnson",11,27,18,95,21,7,"815:1","435:1",58,2.9,6,9.8,271,"Kansas",82,4306,217,33,4,7,9,8,128,10,2,25,9,"870:01:00",87087,15,248,597555,24.4,14.5,6.79289043,3.898830255,6,3624,24617.43492
"Kansas Linn","Kansas","Linn",18,40,34,64,16,11,"4863:1","1083:1",25,5.9,18,9.3,272,"Kansas",76.6,170,436,NA,NA,11,12,12,NA,15,4,31,13,"1625:01:00",47153,NA,10,9750,22.5,22.4,8.864086022,4.637499474,8.1,465,4121.8
"Kansas Neosho","Kansas","Neosho",20,38,30,74,18,9,"1602:1","886:1",43,4.9,23,9.6,273,"Kansas",76.9,240,408,NA,NA,12,13,15,NA,16,3,31,11,"725:01:00",46176,NA,28,15951,24.6,19.8,8.66007905,4.404433134,7.8770835,1306,11310.06324
"Kansas Sedgwick","Kansas","Sedgwick",17,34,26,85,16,11,"1152:1","451:1",50,3.8,17,10,274,"Kansas",77.5,6576,394,61,7,11,12,11,186,14,11,34,14,"687:01:00",56381,19,181,513607,25.7,14.5,7.843368015,4.645713899,6.9,5153,40416.87538
"Kansas Shawnee","Kansas","Shawnee",18,37,25,93,17,9,"1371:1","286:1",58,3.5,18,9.6,275,"Kansas",76.9,2632,414,69,7,11,11,11,155,13,9,30,11,"506:01:00",53612,21,201,177499,23.6,18.2,9.185006657,4.999616061,8.3,2663,24459.67273
"Kansas Sumner","Kansas","Sumner",17,42,32,55,18,10,"2895:1","1150:1",45,3.5,17,9.1,276,"Kansas",77.5,340,394,48,NA,10,11,13,NA,12,10,32,12,"1916:01:00",56946,18,20,22996,24.6,18.7,7.79975376,4.401682679,7,1374,10716.86167
"Kansas Trego","Kansas","Trego",14,36,31,71,17,10,"2884:1","1397:1",26,3.2,16,6.9,277,"Kansas",78,43,362,NA,NA,9,10,12,NA,10,2,27,10,"559:01:00",48520,NA,15,2793,17.9,26.5,4.925736613,3.64387252,4.177767,4222,20796.45998
"Kansas Wyandotte","Kansas","Wyandotte",21,40,33,90,18,15,"2296:1","653:1",45,4.8,27,10.1,278,"Kansas",76,2309,458,69,8,13,13,13,292,16,14,36,20,"810:01:00",47084,18,240,165324,27.9,12.3,10.32044954,5.449519481,9.317029,8720,89994.31999
"Kentucky Bell","Kentucky","Bell",28,37,38,84,13,7,"2241:1","5314:1",38,6.3,44,9.7,279,"Kentucky",71.9,708,684,61,NA,20,19,23,NA,22,12,40,8,"681:01:00",29362,21,63,26569,21.3,19.2,9.252711864,5.657249006,8.15,590,5459.1
"Kentucky Boyd","Kentucky","Boyd",22,41,32,74,15,5,"1090:1","140:1",49,5.9,27,10.4,280,"Kentucky",74.2,975,545,59,7,15,15,15,NA,16,9,39,6,"319:01:00",48020,18,127,47240,21.3,19.5,8.238022259,4.378200984,7.5,8484,69891.38085
"Kentucky Bullitt","Kentucky","Bullitt",20,35,28,74,18,5,"5350:1","1126:1",50,4.1,13,12.4,281,"Kentucky",77.9,1113,384,41,6,12,13,17,51,10,9,40,6,"3003:01:00",61022,22,80,81069,22,15.6,12.61205357,5.511243076,11.75,224,2825.1
"Kentucky Campbell","Kentucky","Campbell",19,32,24,95,20,4,"1468:1","647:1",55,3.3,14,11.7,282,"Kentucky",77,1319,417,50,5,13,14,10,140,12,8,34,5,"1150:01:00",60904,12,378,93152,20.8,15.6,9.573097845,4.468704993,8.7,8061,77168.74173
"Kentucky Carter","Kentucky","Carter",23,40,40,50,15,6,"4524:1","563:1",45,9.2,33,9.6,283,"Kentucky",74.4,541,541,NA,NA,16,16,15,NA,17,3,41,7,"1080:01:00",32906,13,19,27004,22.5,18.8,7.807205982,4.264449117,7,1471,11484.4
"Kentucky Christian","Kentucky","Christian",23,34,31,55,18,6,"1565:1","225:1",42,5.2,26,10.9,284,"Kentucky",74.9,1047,547,88,9,16,16,11,173,18,12,39,7,"305:01:00",40299,20,81,71671,26.9,12.3,9.453543307,4.498110437,8.8,1143,10805.4
"Kentucky Daviess","Kentucky","Daviess",17,31,27,79,16,6,"1894:1","359:1",51,4,19,12.2,285,"Kentucky",76.6,1524,432,53,7,14,14,12,119,14,5,37,7,"665:01:00",51441,20,179,101104,24.5,16.9,9.442449745,4.856656145,8.583333,8235,77758.57365
"Kentucky Edmonson","Kentucky","Edmonson",22,36,24,43,16,8,"12226:1","2455:1",42,5.3,22,11,286,"Kentucky",76.5,222,441,NA,NA,15,15,17,NA,14,1,38,9,"2046:01:00",43151,NA,12,12274,18.4,20.7,8.11547179,3.564678298,7.6,3193,25912.70142
"Kentucky Fayette","Kentucky","Fayette",20,27,20,99,21,7,"807:1","264:1",54,3.3,17,10.8,287,"Kentucky",78.2,3703,371,46,5,13,14,10,331,15,7,38,9,"374:01:00",55358,12,481,323780,20.9,13.3,8.960674211,4.592511008,8.1,8472,75914.83192
"Kentucky Franklin","Kentucky","Franklin",19,37,26,81,18,6,"2805:1","770:1",44,3.7,19,11,288,"Kentucky",75.3,893,479,64,8,14,14,13,NA,14,6,34,7,"1303:01:00",53134,13,174,50815,20.8,18,11.08333333,5.21068704,10.4,222,2460.5
"Kentucky Hardin","Kentucky","Hardin",21,38,32,55,17,5,"1589:1","263:1",45,4.1,18,11.8,289,"Kentucky",77.4,1429,401,54,6,14,14,13,163,14,10,41,6,"665:01:00",52278,14,106,110356,24.6,14,9.231002174,4.367013992,8.5,8212,75804.98985
"Kentucky Henderson","Kentucky","Henderson",21,36,31,75,17,6,"1837:1","800:1",48,3.8,22,12,290,"Kentucky",75.7,781,461,75,8,15,15,17,NA,16,4,41,7,"1013:01:00",51161,20,193,45591,23.2,17.6,8.840306862,4.787963934,8.041667,7437,65745.36213
"Kentucky Jefferson","Kentucky","Jefferson",20,32,25,91,20,6,"1058:1","329:1",51,4.1,22,12.9,291,"Kentucky",75.8,11968,455,60,6,13,13,12,431,15,4,36,8,"540:01:00",55860,16,698,770517,22.2,16.2,10.47708188,4.945771477,9.6375,20653,216383.172
"Kentucky Kenton","Kentucky","Kenton",21,33,25,92,24,6,"1207:1","604:1",54,3.4,14,12.2,292,"Kentucky",76,2431,441,77,10,12,13,11,183,13,6,35,7,"787:01:00",64644,14,583,166051,23.8,14.4,8.972648989,4.715595336,8.190909,364,3266.044232
"Kentucky Madison","Kentucky","Madison",19,35,23,66,18,6,"1825:1","770:1",46,3.9,18,10.1,293,"Kentucky",76.3,1232,436,42,5,14,15,10,88,15,11,39,7,"1184:01:00",51897,16,236,92368,20.7,13.8,8.564548495,4.008341281,7.9,897,7682.4
"Kentucky McCracken","Kentucky","McCracken",21,30,28,75,19,6,"1055:1","499:1",51,5.6,22,11.1,294,"Kentucky",76.5,1122,449,48,7,14,14,12,228,16,9,37,7,"327:01:00",48950,21,183,65346,22.4,19.8,9.101100568,4.727003862,8.333333,7835,71307.12295
"Kentucky Ohio","Kentucky","Ohio",23,36,39,39,16,6,"3455:1","2676:1",40,5.7,25,11.7,295,"Kentucky",74.8,458,516,47,NA,16,16,13,NA,15,8,39,7,"1268:01:00",44751,20,9,24087,24.4,17.8,9.215575362,4.582674339,8.5,326,3004.277568
"Kentucky Perry","Kentucky","Perry",25,41,36,79,14,7,"781:1","124:1",27,6.3,37,9.6,296,"Kentucky",69.2,805,807,46,NA,17,17,16,NA,18,1,41,8,"258:01:00",33108,15,62,26092,22.9,17,8.676216031,4.367219577,8.1,7265,63032.70946
"Kentucky Pike","Kentucky","Pike",23,39,38,45,13,7,"1132:1","957:1",40,5.9,32,9.6,297,"Kentucky",73.1,1403,602,64,9,18,17,18,35,18,1,41,8,"475:01:00",37124,19,52,58402,20.6,18.8,8.683495743,4.309434391,8,8482,73653.41089
"Kentucky Pulaski","Kentucky","Pulaski",24,37,33,73,15,7,"1315:1","311:1",33,5.1,26,10,298,"Kentucky",73.8,1300,538,63,7,16,16,14,71,16,8,41,8,"910:01:00",41541,18,61,64623,22.2,18.8,9.552145172,5.768329016,8.4,1399,13363.4511
"Kentucky Trigg","Kentucky","Trigg",20,33,30,60,16,7,"4815:1","7322:1",41,4.7,25,10.6,299,"Kentucky",77.4,248,410,NA,NA,14,14,13,NA,14,6,36,8,"1464:01:00",49767,28,10,14643,21.9,22.3,10.12844828,4.304877033,9.9,116,1174.9
"Kentucky Warren","Kentucky","Warren",20,30,24,55,19,7,"1416:1","392:1",49,3.7,20,10.8,300,"Kentucky",77.2,1605,409,54,6,14,14,8,143,15,6,37,9,"887:01:00",53478,16,73,131264,22.9,12.9,8.335880047,4.103251063,7.7,8589,71596.87373
"Louisiana Bossier","Louisiana","Bossier",19,31,27,76,20,9,"2321:1","445:1",48,4.3,20,10.3,301,"Louisiana",77.9,1528,375,73,6,13,14,12,205,13,8,37,11,"1696:01:00",56754,14,196,127185,24.8,14.3,8.430981673,4.470672884,7.704167,7431,62650.62481
"Louisiana Caddo","Louisiana","Caddo",22,40,31,85,17,9,"874:1","148:1",44,5.5,36,10.3,302,"Louisiana",74.9,4324,510,87,11,15,16,13,560,20,14,36,11,"675:01:00",40467,14,278,242922,23.7,17.1,10.8889191,5.372758788,10.4,1471,16017.6
"Louisiana Calcasieu","Louisiana","Calcasieu",20,35,30,75,19,9,"1306:1","390:1",45,3.8,21,9.5,303,"Louisiana",75.1,3293,489,69,8,13,14,11,393,14,9,38,12,"1006:01:00",50531,18,183,203112,24.9,14.8,9.813867721,4.711620705,9.1,9196,90248.32756
"Louisiana East Baton Rouge","Louisiana","East Baton Rouge",18,32,29,98,22,9,"1075:1","250:1",48,4.3,24,9,304,"Louisiana",76.1,6265,446,93,12,14,15,12,1026,17,11,35,11,"607:01:00",52945,11,402,440956,22.7,14.2,10.0918693,4.730031545,9.4,12208,123201.5404
"Louisiana Iberville","Louisiana","Iberville",21,38,21,49,18,9,"3002:1","376:1",44,6.2,33,9.5,305,"Louisiana",75.5,577,499,83,9,14,15,15,1020,17,4,38,11,"1925:01:00",47917,9,88,32721,20.6,15.8,8.806260481,4.310843585,8,1789,15754.4
"Louisiana Jefferson","Louisiana","Jefferson",19,33,27,98,20,12,"1100:1","387:1",42,4.4,26,8,306,"Louisiana",77.3,6426,415,59,7,14,14,14,504,13,5,37,15,"786:01:00",50871,14,552,434051,22,17.1,7.924553658,4.173310559,7.141667,10603,84024.04244
"Louisiana Lafayette","Louisiana","Lafayette",18,31,26,86,20,10,"944:1","282:1",47,4.5,20,9.4,307,"Louisiana",78.5,2728,353,54,6,13,14,10,372,14,7,36,13,"756:01:00",57821,14,246,242782,23.6,13.2,9.450822975,4.843738368,8.7,7005,66203.01494
"Louisiana Lafourche","Louisiana","Lafourche",19,40,32,60,21,12,"2140:1","625:1",44,4.7,23,9.3,308,"Louisiana",77.3,1387,414,61,7,13,14,13,187,12,9,31,15,"1533:01:00",52651,20,37,98115,23.2,15.5,7.203153224,3.731587084,6.4729165,7260,52294.89241
"Louisiana Livingston","Louisiana","Livingston",22,37,31,78,21,9,"5316:1","918:1",46,4.1,15,9.7,309,"Louisiana",76.5,1925,427,65,8,13,14,10,192,9,5,36,11,"3579:01:00",63088,18,71,139567,25.6,13.2,9.196791596,4.741698941,8.6,7302,67154.97223
"Louisiana Orleans","Louisiana","Orleans",23,30,24,94,23,10,"1054:1","185:1",37,5,34,9,310,"Louisiana",76.9,5831,446,76,7,14,16,11,1432,22,9,41,12,"1321:01:00",38855,12,752,391006,20,14.8,8.381806452,4.1538459,7.7604165,8872,74363.38685
"Louisiana Ouachita","Louisiana","Ouachita",21,40,31,78,18,8,"1199:1","203:1",43,5.2,30,9.5,311,"Louisiana",74.9,2476,492,81,8,16,16,14,463,19,14,40,11,"623:01:00",44371,13,191,154475,24.9,14.8,10.87395957,5.20565656,10.2,2781,30240.48157
"Louisiana Rapides","Louisiana","Rapides",22,40,31,80,17,10,"1230:1","202:1",44,5.3,25,9.3,312,"Louisiana",74.4,2310,521,60,6,14,16,15,461,17,16,37,12,"625:01:00",48116,19,160,130562,24.7,16.4,10.30510326,4.841202152,9.6,4042,41653.22739
"Louisiana St. Bernard","Louisiana","St. Bernard",23,43,33,57,20,10,"4620:1","261:1",33,5,30,9,313,"Louisiana",74.9,762,542,48,7,15,16,13,481,14,19,38,13,"2225:01:00",43983,16,271,46721,26.6,11.4,9.904902361,5.042292987,9.2,6352,62915.9398
"Louisiana St. Tammany","Louisiana","St. Tammany",18,30,22,81,21,9,"1232:1","420:1",45,4.2,17,9.3,314,"Louisiana",78.6,3109,332,49,5,12,14,11,208,9,7,36,11,"1132:01:00",67054,17,144,258111,24,16.9,7.873478974,4.275942426,6.9979165,7344,57822.82958
"Louisiana Tangipahoa","Louisiana","Tangipahoa",22,39,34,68,20,10,"2880:1","471:1",39,5.5,24,8.9,315,"Louisiana",74.6,2222,506,77,8,14,16,10,367,16,11,39,13,"929:01:00",47128,16,111,133777,24.5,14.4,7.894811019,3.801247094,7.2,1561,12323.8
"Louisiana Terrebonne","Louisiana","Terrebonne",22,42,31,81,20,12,"2437:1","453:1",44,5,23,8.7,316,"Louisiana",75.6,1737,467,63,7,14,16,11,230,14,12,38,15,"1000:01:00",51665,14,172,111021,25.3,14.4,7.590833333,3.549556136,6.9,1200,9109
"Louisiana West Baton Rouge","Louisiana","West Baton Rouge",20,38,21,74,20,7,"6566:1","2202:1",49,4.4,20,9,317,"Louisiana",78.1,369,426,75,8,13,14,9,507,15,6,40,9,"1762:01:00",58205,19,218,26427,24.4,13.6,10.12141558,4.930250003,9.3,5117,51791.2835
"Louisiana Winn","Louisiana","Winn",23,37,27,80,17,9,"1789:1","3534:1",42,6.3,29,9.4,318,"Louisiana",74.1,291,552,106,NA,16,16,22,251,19,13,38,12,"1413:01:00",40133,15,44,14134,21,18.6,8.190434783,3.691026908,7.5,115,941.9
"Maine Androscoggin","Maine","Androscoggin",16,34,25,84,20,9,"1223:1","205:1",50,3.3,17,7.6,319,"Maine",77.6,1488,372,44,6,11,13,12,148,14,4,36,11,"530:01:00",49935,18,175,107679,21.7,17.7,6.994850632,4.403934055,6,7617,53279.77726
"Maine Aroostook","Maine","Aroostook",19,36,31,56,15,12,"940:1","183:1",39,4.8,19,8.1,320,"Maine",78,1051,369,68,9,12,14,13,59,15,5,34,14,"799:01:00",39450,19,34,67111,18.2,24.1,5.807978275,3.767979335,5.004167,19163,111298.2877
"Maine Cumberland","Maine","Cumberland",11,23,16,84,23,9,"602:1","143:1",53,2.7,8,8,321,"Maine",80.2,3074,275,40,5,9,11,9,222,12,5,29,11,"549:01:00",71586,12,153,293557,18.7,18.4,6.983292733,4.216426581,6.245833,10922,76271.52323
"Maine Franklin","Maine","Franklin",16,34,23,47,20,11,"937:1","344:1",43,4,20,6.9,322,"Maine",78.1,429,337,74,NA,11,13,9,46,13,1,33,13,"1031:01:00",49561,19,44,29897,17.5,22.4,4.744781857,3.553708604,4.2,1981,9399.412859
"Maine Hancock","Maine","Hancock",14,25,18,70,21,12,"690:1","256:1",51,3.8,16,6.3,323,"Maine",80,746,307,29,NA,11,12,9,128,13,2,31,14,"741:01:00",52148,15,37,54811,17.1,24.6,3.754135104,2.704680502,3.1,9535,35795.67821
"Maine Kennebec","Maine","Kennebec",16,34,23,77,19,10,"786:1","205:1",46,3.2,15,7.7,324,"Maine",78.2,1717,359,31,7,11,13,11,127,14,3,31,11,"520:01:00",52154,19,33,122083,19.3,19.9,5.591549296,3.534860551,4.8,355,1985
"Maine Oxford","Maine","Oxford",18,33,26,41,19,11,"1689:1","389:1",41,4,26,7.4,325,"Maine",77.8,925,378,30,NA,11,13,10,60,13,2,32,13,"1440:01:00",44243,16,49,57618,18.4,21.7,6.063803116,4.555544275,5.041667,3927,23812.55484
"Maine Penobscot","Maine","Penobscot",17,34,24,63,20,11,"775:1","186:1",43,3.8,17,7.2,326,"Maine",77.6,2166,379,56,7,12,14,12,88,14,5,33,13,"432:01:00",47840,17,78,151096,18.1,18.7,5.750741131,3.733012242,5,10141,58318.26581
"Maine Piscataquis","Maine","Piscataquis",19,37,25,48,18,12,"1525:1","480:1",32,4.2,24,6.7,327,"Maine",76.6,318,404,NA,NA,12,14,11,47,15,2,34,14,"988:01:00",40066,23,28,16800,16.8,26.7,4.85343612,2.975920967,4.2,851,4130.274138
"Maine Washington","Maine","Washington",18,33,27,52,19,16,"1504:1","178:1",34,4.9,27,6.5,328,"Maine",75.9,587,443,NA,NA,13,14,13,99,15,5,34,18,"900:01:00",39522,25,22,31490,18.9,24.4,3.102065728,1.977252084,2.6,1065,3303.7
"Maryland Anne Arundel","Maryland","Anne Arundel",14,29,21,92,19,6,"1440:1","528:1",53,3.3,10,10.6,329,"Maryland",79.2,6299,323,42,5,10,11,10,280,7,5,35,7,"958:01:00",97051,12,387,576031,22.2,14.7,10.00292729,5.566771261,8.8,1059,10593.1
"Maryland Baltimore","Maryland","Baltimore",13,31,24,96,17,6,"988:1","327:1",53,4,13,10.9,330,"Maryland",78.1,10845,377,51,6,10,12,11,461,11,3,34,7,"916:01:00",75836,10,718,828431,21.6,17.2,8.493732598,5.098441183,7.5,4945,42001.5077
"Maryland Cecil","Maryland","Cecil",17,33,28,81,18,6,"2446:1","490:1",49,4.4,13,10.7,331,"Maryland",76.2,1597,434,48,6,10,12,11,153,9,7,36,7,"1870:01:00",72739,16,150,102826,22.6,15.7,8.93560619,5.358629555,7.875,7231,64613.36836
"Maryland Dorchester","Maryland","Dorchester",18,39,34,68,15,7,"2297:1","416:1",50,5.2,27,9.4,332,"Maryland",75.9,553,447,70,9,11,13,19,516,14,6,35,9,"1454:01:00",48682,14,87,31998,21.1,21.6,7.238551123,3.822094846,6.7,5559,40239.10569
"Maryland Garrett","Maryland","Garrett",15,37,28,73,16,7,"1827:1","648:1",40,4.8,18,8.7,333,"Maryland",78.7,413,339,58,NA,11,13,13,43,9,1,32,8,"858:01:00",49147,18,39,29163,18.6,22.4,6.76690252,4.155390618,6,7566,51198.38446
"Maryland Harford","Maryland","Harford",15,32,25,90,18,5,"1763:1","539:1",53,3.6,10,10.9,334,"Maryland",78.8,3028,333,31,4,9,11,11,222,8,4,33,5,"1209:01:00",87959,12,222,253956,22.2,16.2,8.712908633,5.008759927,7.7,6278,54699.6404
"Maryland Howard","Maryland","Howard",9,25,17,96,16,4,"517:1","342:1",57,3,6,11,335,"Maryland",83.4,2098,195,36,5,8,10,9,218,6,2,29,4,"1081:01:00",116719,7,527,323196,24.4,13.8,9.111151889,4.440569469,8.541667,4128,37610.835
"Maryland Kent","Maryland","Kent",13,30,28,57,16,8,"1140:1","554:1",54,4.3,19,9.7,336,"Maryland",79,284,338,NA,NA,10,12,12,184,11,0,30,9,"1385:01:00",55514,14,73,19383,15.8,26.7,8.335532072,4.765240248,7.5,6832,56948.35512
"Maryland Montgomery","Maryland","Montgomery",8,21,16,100,16,8,"743:1","320:1",53,3.2,8,10.8,337,"Maryland",84.4,6845,192,41,5,8,10,8,397,6,2,32,10,"1127:01:00",107758,7,844,1052567,23.2,15.5,8.594893233,4.973760908,7.652174,7053,60619.78197
"Maryland Prince George's","Maryland","Prince George's",12,37,23,98,14,11,"1855:1","685:1",39,4.1,12,9.9,338,"Maryland",79.5,10137,332,66,8,10,11,13,889,13,4,42,13,"1541:01:00",82445,6,697,909308,22.2,13.3,9.061198839,5.035814256,8.1,10143,91907.73982
"Maryland Washington","Maryland","Washington",15,36,27,75,16,6,"1793:1","408:1",51,4.3,17,10.1,339,"Maryland",77.2,2132,404,51,7,11,12,14,318,11,6,31,7,"974:01:00",62556,14,238,150926,21.8,17.2,9.117365725,5.517455487,7.9,6786,61870.44381
"Massachusetts Barnstable","Massachusetts","Barnstable",12,21,18,92,20,4,"1026:1","192:1",52,4.3,10,6.7,340,"Massachusetts",79.6,2798,306,31,4,9,11,9,391,8,10,30,4,"1041:01:00",69001,15,65,213413,15.1,30.6,4.71364486,2.746934814,4,1070,5043.6
"Massachusetts Berkshire","Massachusetts","Berkshire",14,26,20,85,19,3,"915:1","115:1",51,4,16,7.7,341,"Massachusetts",78.9,1765,348,37,5,11,12,10,154,10,6,31,4,"826:01:00",58375,12,91,126348,16.9,23.3,8.228082633,5.216036478,7.2125,10079,82930.84486
"Massachusetts Bristol","Massachusetts","Bristol",15,29,27,95,21,4,"1878:1","204:1",52,4.3,14,6.9,342,"Massachusetts",78.6,6969,350,30,4,11,12,11,283,10,5,36,4,"1081:01:00",66005,12,105,564022,20.6,16.9,7.600918698,4.56775243,6.8,7937,60328.4917
"Massachusetts Dukes","Massachusetts","Dukes",12,27,18,88,21,5,"1575:1","145:1",52,4.6,12,6,343,"Massachusetts",82,183,232,NA,NA,9,11,7,285,9,1,29,5,"1021:01:00",70224,11,29,17352,17.5,24.3,5.360329068,3.491170182,4.4,1094,5864.2
"Massachusetts Essex","Massachusetts","Essex",12,25,21,96,21,4,"1311:1","173:1",53,3.4,13,7.8,344,"Massachusetts",80.3,7915,284,32,4,10,11,10,279,7,4,34,5,"1040:01:00",76373,9,207,790638,21.3,17,6.744205222,4.423539094,5.9125,17007,114698.6982
"Massachusetts Franklin","Massachusetts","Franklin",14,29,22,79,20,3,"1309:1","123:1",53,3,15,7.7,345,"Massachusetts",79.8,888,291,50,NA,11,12,12,144,9,6,33,4,"1109:01:00",58992,10,36,70963,17.5,22,6.623748613,4.459218499,5.666667,4968,32906.78311
"Massachusetts Hampden","Massachusetts","Hampden",15,31,26,95,20,4,"1459:1","108:1",52,4.6,26,8.2,346,"Massachusetts",78.4,5749,355,43,5,13,14,11,491,10,5,34,4,"658:01:00",52682,10,203,470406,21.5,16.8,7.84479643,5.409713937,6.6,12265,96216.42822
"Massachusetts Hampshire","Massachusetts","Hampshire",13,20,17,85,24,3,"719:1","109:1",58,3,9,8,347,"Massachusetts",80.8,1426,259,41,5,10,12,7,121,10,10,30,3,"984:01:00",74456,10,66,161355,14.7,17.2,5.96045252,4.331604536,5.208333,7812,46563.05508
"Massachusetts Middlesex","Massachusetts","Middlesex",10,22,19,98,23,3,"798:1","172:1",56,2.7,8,8.5,348,"Massachusetts",82.2,12483,228,27,3,9,10,7,271,8,3,31,4,"1057:01:00",100374,8,305,1614714,19.7,15.3,7.131651311,3.172295551,6.7,1396,9955.78523
"Massachusetts Norfolk","Massachusetts","Norfolk",12,23,20,94,21,2,"788:1","164:1",56,3,6,8.1,349,"Massachusetts",81.7,6099,243,27,3,9,11,9,211,7,3,31,3,"1019:01:00",100184,8,228,705388,20.9,16.9,6.321305484,4.004218376,5.845833,4347,27478.71494
"Massachusetts Plymouth","Massachusetts","Plymouth",15,28,25,87,22,3,"1590:1","184:1",53,3.5,7,7.2,350,"Massachusetts",79.6,5915,308,25,3,10,11,11,221,8,6,37,3,"1225:01:00",89678,10,71,518132,21.4,18.1,6.574055713,4.142007145,6,6480,42599.88102
